fk_word,def_en,def_es,translation
2713,the act of acknowledging or accepting something,el acto de reconocer o aceptar algo,reconocimiento
2714,A pigeon is a small to medium-sized bird,La paloma es una ave peque?a o mediana,paloma
2715,A person who creates artworks using paint or other mediums.,Una persona que crea obras de arte utilizando pintura o otros medios.,pintor/pintora
2716,to forecast or guess something that will happen in the future,predecir algo que va a suceder en el futuro,predecir
2717,a feeling of great pleasure,una sensación de gran placer,ñam
2718,a tenner is a British note of £10,una moneda de diez libras es un billete de diez,billete de diez
2719,A terrace is an outdoor area attached to a building,Una terraza es una zona exterior adjunta a un edificio,terraza
2720,giving warning or notice of a potential danger,dándole aviso o notificación de una posible peligrosidad,alerta
2721,a person or organization that pays for a service or product.,una persona o organizacion que paga por un servicio o producto.,cliente
2722,continuing or happening at the same time,continuando o sucediendo al mismo tiempo,en curso
2723,a portion of land that is cultivated for growing crops,un área de tierra cultivada para el crecimiento de cultivos,cosecha
2724,a building for worship or religious rituals,un edificio para culto o rituales religiosos,templo
2725,A sudden military attack on a country or territory,Un ataque militar repentinamente contra un país o territorio,invasión
2726,A state of disarray or disorder.,Un estado de desorden o confusión.,confusión
2727,A documentary is a type of film that documents reality or reported events.,Un documental es un tipo de película que documenta la realidad o eventos reportados.,documental
2728,A formal archaic second-person singular pronoun used in poetry and literary works.,Un arcaico segundo persona singular pronominal utilizado en la poesía y las obras literarias.,tú
2729,of or relating to a foul condition; morally wrong,relativo o relacionado con una condición deshonesta; moralmente incorrecto,faltal
2730,a state of intense or uncontrolled emotion,un estado de intensa o descontrolada emoción,locura
2731,A cab is a vehicle for hire,Un taxi es un vehculo de alquiler,taxi
2732,a type of waterbird,un tipo de ave acuática,ganso
2733,a strong and pleasant smell,un fuerte y agradable olor,aroma
2734,the force that attracts objects towards each other,la fuerza que atrae objetos hacia cada otro,gravedad
2735,to join or link two things together,unir o enlazar dos cosas,conectar
2736,a formal agreement between two or more countries or organizations to cooperate on a common goal,un acuerdo formal entre dos o más países o organizaciones para cooperar en un objetivo común,alianza
2737,the ratio of the size or degree of one thing to that of another,la relación de la tamaño o grado de una cosa con respecto a otra,proporción
2738,A condition that affects a person's ability to function normally in daily life.,Un estado que afecta la capacidad de una persona para funcionar normalmente en su vida diaria.,discapacidad
2739,"A group of animals, especially cattle or deer.","Un grupo de animales, especialmente ganado o ciervos.",manada
2740,to remove the outer layer of a fruit or vegetable,quitar la capa externa de un fruto o verdura,pelar
2741,"a fight or struggle, especially a war",un combate o lucha,combate
2742,"to exchange or convey information, thoughts, or feelings through a common system of symbols, signs, or behavior.","intercambiar o transmitir información, ideas o sentimientos mediante un sistema común de símbolos, señales o comportamientos.",comunicar
2743,A small domesticated mammal often kept as a pet.,Un pequeño mamífero doméstico a menudo mantenido como mascota.,gatito
2744,to take or receive something eagerly or quickly,tomar o recibir algo con entusiasmo o rapidez,cucharada
2745,A raised surface for holding objects.,Un espacio elevado para sostener objetos.,estante
2746,the act of showing kindness or compassion to someone who deserves it.,la acción de mostrar amabilidad o compasión a alguien que la merece.,misericordia
2747,to find a solution to a problem,encontrar una solución a un problema,resolver
2748,relating to or affecting all people or things,relacionado con o que afecta a todos los seres humanos o cosas,universal
2749,Relating to or supporting the government of a republic.,Relacionado con o apoyando el gobierno de una república.,republicano/republicana
2750,to decline or reject something,negarse a algo,negarse
2751,a substitute for something or someone,un sustituto de algo o alguien,substituto
2752,Fruity and acidic in taste.,Dulce y ácido al paladar.,tarta
2753,to determine the amount of something that a person or animal has,determinar la cantidad de algo que una persona o un animal tiene,pesar
2754,of or relating to a coast; situated near the sea.,de o relacionado con una costa; situado cerca del mar.,costero/costera
2755,something that is certain to happen or be true,algo que está asegurado de ocurrir o ser cierto,inevitable
2756,The natural environment in which an animal or plant lives.,El entorno natural en el que un animal o planta vive.,hábitat
2757,"relating to or characteristic of an earlier period, often in a way that is considered attractive or nostalgic.","relacionado con o característico de un período anterior, a menudo de manera que es considerado atractivo o nostálgico.",vendimia
2758,used to indicate something in addition to or beside something else,usado para indicar algo además de o junto a algo más,además de
2759,thee is an archaic second-person singular object pronoun.,ti es una pronombre objectivo en singular del segunda persona en arcaico.,ti
2760,relating to the arrangement or organization of parts in a way that makes something stable and strong.,relacionado con la disposición o organización de partes en un modo que hace que algo sea estable y fuerte.,estructural
2761,a practice session for an event or performance,una sesión de práctica para un evento o actuación,ensayo
2762,extremely pleasing or enjoyable.,muy agradable o disfrutable.,encantador/encantadora
2763,The act of being committed to someone or something for a specified period.,El acto de estar comprometido con alguien o algo durante un período específico.,compromiso
2764,Having or showing a modest and unassuming personality.,Teniendo o demostrando una personalidad modesta e insegura.,humilde
2765,A container used for boiling water.,Un recipiente utilizado para calentar agua.,tetera
2766,"A monument representing a person or animal, often made of stone or metal.","Un monumento que representa una persona o animal, a menudo hecho de piedra o metal.",estatua
2767,A ferry is a boat that carries people or vehicles over a body of water.,Un ferry es un barco que transporta personas o vehculos sobre un cuerpo de agua.,ferry
2768,A direction or course in which something is moving or developing,Una dirección o curso en el que algo está moviéndose o desarrollándose,tendencia
2769,A person's desire to eat or enjoy food,El deseo de comer o disfrutar de la comida,apetito
2770,to produce or create something,producir o crear algo,generar
2771,A person who plays a musical instrument.,Una persona que toca un instrumento musical.,músico/música
2772,"having a unique or unusual character, feature, or quality.",teniendo un carácter o cualidad única,distintivo/distintiva
2773,"A sudden attack or invasion, typically by a group of people.","Un ataque o invasión repentina, a menudo realizada por un grupo de personas.",redada
2774,a person who bids on something,una persona que hace un ofrecimiento,licitador/licitadora
2775,Extremely dry and crunchy in texture,Muy seco y crujiente en textura,crujiente
2776,to determine the value or quality of something,determinar el valor o cualidad de algo,evaluar
2777,occurring or done every week,ocurriendo o realizándose cada semana,semanal
2778,A person who works in a private house and is responsible for performing various domestic tasks.,Un hombre o mujer que trabaja en una casa privada y es responsable de realizar diversas tareas domésticas.,sirviente
2779,The act of formally ending a marriage.,El acto de formalmente poner fin a un matrimonio.,divorcio
2780,extremely far away in space or time,extremadamente lejano en el espacio o el tiempo,distante
2781,the act of getting revenge for a wrong or injury,el acto de obtener venganza por un error o lesión,venganza
2782,to change the form or nature of something,cambiar la forma o naturaleza de algo,transformar
2783,"a branch of science that deals with the design, development, and application of software and hardware systems.","una rama de la ciencia que se ocupa del diseño, desarrollo y aplicación de sistemas de software y hardware.",tecnología
2784,The surname is a hereditary name that identifies an individual's family lineage.,El apellido es un nombre hereditario que identifica la línea de familia de una persona.,apellido
2785,A person who specializes in performing surgical operations.,Un profesional que se especializa en realizar operaciones quirúrgicas.,cirujano/cirujana
2786,a large mass of matter that is compact and irregular in shape.,un gran grupo de materia que es compacto y tiene una forma irregular.,bulto
2787,The sound a cow makes.,El sonido que produce la vaca.,moo (sonido de vaca)
2788,A level of quality or standard.,Un nivel de calidad o estándar.,par
2789,extremely large in size or amount,muy grande en tamaño o cantidad,mega
2790,A highly corrosive and acidic substance that can cause chemical burns.,Una sustancia altamente corrosiva y ácida que puede causar quemaduras químicas.,ácido
2791,a widely accepted view or opinion,una opinión ampliamente aceptada,consenso
2792,to arrange or dispose things in an orderly and systematic way,a organizar o disposicionar las cosas de una manera ordenada y sistemática,organizar
2793,A style of dance music characterized by its upbeat tempo and often used for formal dance events.,Estilo de música de baile caracterizado por su ritmo rápido y a menudo utilizado para eventos de baile formales.,disco
2794,"to increase in size, extent, or degree","aumentar en tamaño, extensión o grado",expandir
2795,A victorious achievement or event.,Un logro victorioso o evento.,triunfo
2796,"A person who creates music, especially orchestral or choral works.","Un persona que crea música, especialmente obras orquestales o corales.",compositor/compositora
2797,Having a lot of space or room.,Teniendo mucho espacio o habitación.,espacioso/espaciosa
2798,having or showing skill and imagination in a creative way,dando muestra de habilidad y creatividad en un modo artístico,artístico/artística
2799,Not visible to the naked eye or detectable by ordinary means.,No visible para la vista o detectable por medios normales.,invisible
2800,the act of helping or supporting someone,el acto de ayudar o apoyar a alguien,asistencia
2801,The process of explaining the meaning of a term or phrase.,El proceso de explicar el significado de un término o frase.,definición
2802,A person born at the same time as another,Una persona nacida al mismo tiempo que otra,gemelo/gemela
2803,a meal eaten in the evening,una comida comida por la noche,cena
2804,a person who fights in a contest or battle,un hombre o mujer que lucha en un combate o batalla,luchador/luchadora
2805,a false promise of something that is not available or intended to be given,una promesa falsa de algo que no está disponible o se ha ofrecido intencionalmente,estafa
2806,a slight tapping or pressing with the fingers,un leve golpe o presión con los dedos,pellizco
2807,a law enforcement officer,un oficial de aplicación de la ley,policía
2808,A fabric used for making clothing and other textiles.,Un tejido utilizado para hacer ropa y otros tejidos.,tela
2809,extremely inclined or sloping upward,extremadamente inclinado o empedrado en forma vertical,empinado/empinada
2810,a decision made by a governing body or authority.,una decisión emitida por un órgano gubernamental o autoridad.,decisión
2811,A natural feeling or ability that is present from birth and guides an individual's actions without conscious thought.,Un sentimiento o capacidad natural que está presente desde el nacimiento y guía las acciones de la persona sin pensamiento consciente.,instinto
2812,A situation or set of circumstances that is being considered as a basis for making decisions.,Un estado o conjunto de circunstancias que se considera como base para tomar decisiones.,escenario
2813,of lesser importance or rank,de menor importancia o rango,secundario/secundaria
2814,a messy or dirty place or substance.,un lugar o sustancia sucia o suciosa.,estiércol
2815,A feeling of intense anger or exasperation at a situation that is frustrating or difficult to resolve.,Un sentimiento de irritación intensa o desesperanza ante una situación frustrante o difícil de resolver.,frustración
2816,"A bag made of fabric or other material, typically with a separate opening for the contents.","Un saco hecho de tela o otro material, típicamente con un pequeño agujero para los contenidos.",saco
2817,to throw or discard unwanted or useless material,arrojar o descartar materiales innecesarios o de desecho,vertedero
2818,"a large container that holds a liquid, typically at high pressure.","una gran caja que contiene un líquido, típicamente a alta presión.",caldera
2819,A greater amount than what is needed or required.,Un exceso de lo necesario o requerido.,exceso
2820,A person who plays football professionally.,Un futbolista es un deportista que practica el fútbol de manera profesional.,futbolista
2821,relating to education or research,relacionado con la educación o la investigación,académico/académica
2822,to become or cause something to become liquid,ser o hacer algo líquido,derretir
2823,relating to the sense of sight,relacionado con la percepción visual,visual
2824,Relating to or consisting of living organisms,Relacionado con o consistente en organismos vivos,orgánico/orgánica
2825,"A formal dinner or feast, typically held for special occasions.","Una cena o comedia formal, generalmente organizada para ocasiones especiales.",banquete
2826,Very tidy and well-organized.,Muy ordenado y bien organizado.,ordenado/ordenada
2827,"A cocktail is a mixed drink typically made with a combination of spirits, liqueurs, and other ingredients such as fruit juice, flavorings, or herbs.","Un cóctel es una bebida mixta típicamente hecha con una combinación de espíritus, licores y otros ingredientes como jugo de frutas, sabores o hierbas.",cóctel
2828,a sign or token that indicates something,un signo o token que indica algo,indicación
2829,A person who is learning a trade or occupation under the guidance of an experienced worker.,Una persona que aprende un oficio o ocupación bajo la orientación de un trabajador experimentado.,aprendiz/aprendiza
2830,a sudden and powerful burst of electricity that occurs in the atmosphere,un súbito y poderoso destello de electricidad que ocurre en la atmósfera,relámpago
2831,A plan or scheme for doing something,Un plan o esquema para hacer algo,arreglo
2832,A word that has the same ending sound as another word.,Una palabra que tiene el mismo sonido de fin como otra palabra.,rima
2833,the seat or chair on which a king or queen sits,el asiento o silla en la que se sienta un rey o una reina,trono
2834,a small metal fastener used to join or hold things together,un pequeño gancho metálico utilizado para unir o sujetar cosas,perno
2835,A type of food made from milk and other dairy products.,Un tipo de alimento hecho con leche y otros productos lácteos.,lácteo
2836,"A pearl is a rounded or spherical object, typically made of a hard substance such as gemstone or shell.",,perla
2837,A holder is a device or object that holds or supports something.,Un tenedor es un dispositivo o objeto que sostiene o apoya algo.,tenedor/titular
2838,a state of great sorrow or distress.,un estado de gran dolor o malestar,miseria
2839,to inflict extreme pain or suffering on someone or something,sujetar a alguien o algo a extremo dolor o sufrimiento,torturar
2840,causing disgust or offense,dando disgusto o ofensa,ofensivo/ofensiva
2841,The involvement of a company in a particular activity can lead to increased revenue.,La participación de una empresa en una actividad determinada puede generar mayores ganancias.,participación
2842,"a sudden, forceful blow with the hand",un golpe rápido y fuerte con la mano,bofetada
2843,a type of fabric made from the cocoons of silkworms,una tipo de tela hecha a partir de las cojines de las orugas de la seda,seda
2844,Soil or earth material,Materia de tierra o suelo,suciedad
2845,A mixture of cooked and mashed food.,Un mezcle de comida cocida y puré.,puré
2846,a state of tension or stress,un estado de tensión o estrés,tensión
2847,A fictional or imaginary world or situation,Un mundo o situación ficticia o imaginaria,fantasía
2848,The process of designing and installing lighting systems.,El proceso de diseñar y instalar sistemas de iluminación.,iluminación
2849,A change from one state or situation to another.,Un cambio de un estado o situación a otra.,transición
2850,lacking courage or strength; greatly disappointing,falta de coraje o fuerza; muy desesperante,patético/patética
2851,To remove or clean something by rubbing it with a cloth or brush.,Quitar o limpiar algo con un paño o cepillo.,limpiar
2852,the act of thinking carefully about something,el acto de pensar cuidadosamente en algo,consideración
2853,adequate in amount or degree to meet requirements,bastante para cumplir con las necesidades,suficiente
2854,extremely violent or cruel,extremadamente violento o cruel,brutal
2855,able to break or bend easily,capaz de romperse o doblarse fácilmente,frágil
2856,a business or organization that operates a particular type of industry,una empresa o organización que opera una industria en particular,establecimiento
2857,to protect or conserve something from harm or damage,proteger o conservar algo de daño o deterioro,conservar
2858,exceptionally good or of high quality,excepcionalmente bueno o de alta calidad,excepcional
2859,"A high temperature, usually accompanied by sweating and other symptoms.","Una alta temperatura, acompañada de sudoración y otros síntomas.",fiebre
2860,to maintain a belief or attitude despite evidence to the contrary,mantener una creencia o actitud a pesar de evidencia en contra,insistir
2861,A type of edible seed,Un tipo de semilla comestible,nuez
2862,A diagram that shows the relationship between different components or data.,Un diagrama que muestra la relación entre diferentes componentes o datos.,gráfico
2863,a domesticated Asian wild ass used as a pack animal,un asno doméstico de Asia oriental utilizado como animal de carga,burro
2864,a thing that draws someone's attention or interest,una cosa que atrae la atención o interés de alguien,atracción
2865,The expertise of a skilled professional is valued in their field.,La experticia de un profesional capacitado es apreciada en su campo.,experticia
2866,"A person who has a large amount of money, typically one who has inherited or earned a fortune.","Un millonario es una persona que tiene una gran cantidad de dinero, generalmente alguien que heredó o ganó una fortuna.",millonario/millonaria
2867,Showing or feeling strong enthusiasm and excitement about something.,Mostrando o sintiendo entusiasmo y emoción fuerte por algo.,entusiasta
2868,a waste of time or resources,una desperdicia de tiempo o recursos,porquería
2869,a small mark or line used to divide or separate words or lines of text,un pequeño símbolo o línea utilizada para dividir o separar palabras o líneas de texto,guion
2870,to climb or ascend a pine tree,subir o escalar una pino,pino
2871,A type of flavoring made from the seed pods of the vanilla orchid.,Un tipo de saborizado hecho a partir de las semillas del orquídeo de vainilla.,vainilla
2872,A person who takes photographs.,Un fotógrafo es una persona que toma fotografías.,fotógrafo/fotógrafa
2873,"A type of small, sweet fruit with a red or yellow skin.",Una variedad de pequeño fruto dulce con piel roja o amarilla.,fresa
2874,a statement or account of the main points of something,una declaración o cuenta de los puntos principales de algo,descripción
2875,a musical instrument with pipes or keys that produce sound,un instrumento musical con tubos o teclas que producen sonido,órgano
2876,to change something or someone into another form,cambiar algo o a alguien en otra forma,convertir
2877,The course of events that will inevitably bring about a person's death.,El curso de eventos que inevitablemente llevarán a la muerte de una persona.,destino
2878,relating to or characteristic of a Soviet state,relacionado con o característico de un estado soviético,soviético/soviética
2879,a list of items or information,una lista de artículos o información,catálogo
2880,A dispute or debate that is unpopular and contentious,Un debate o disputa que es inpopular y controvertido,controversia
2881,relating to the spirit or soul,relacionado con el espíritu o alma,espiritual
2882,relating to the flow of electric current.,relacionado con el flujo de la corriente eléctrica.,eléctrico/eléctrica
2883,a device used to supply electrical power to a device or appliance,un dispositivo utilizado para suministrar potencia eléctrica a un dispositivo o electrodoméstico,enchufe
2884,A large white waterbird with a long neck and legs.,Un gran pájaro blanco de agua con una larga cuello y patas.,cisne
2885,A device used to keep drinks cold,Un dispositivo utilizado para mantener bebidas frías,enfriador
2886,A type of herb commonly used in cooking.,Una especie de hierba comúnmente utilizada en la cocina.,perejil
2887,a quality or characteristic that gives food a burning sensation when eaten.,una calidad o característica que le da al alimento un sentimiento de quema cuando se come.,picante
2888,causing difficulty in understanding or interpreting something.,casi imposible de entender o interpretar algo.,confuso/confusa
2889,A mechanism is a system of interrelated components that work together to achieve a specific goal or function.,Un mecanismo es un sistema de componentes interrelacionados que trabajan juntos para lograr un objetivo o función específica.,mecanismo
2890,A person who has lost something or someone.,Una persona que ha perdido algo o a alguien.,perdedor/perdedora
2891,a device that propels a stream of liquid or solid particles,un dispositivo que empuja una corriente de líquido o partículas sólidas,spray
2892,a part of an object that blocks or filters sunlight,una parte de un objeto que bloquea o filtra la luz del sol,sombra
2893,having or showing a strong liking for something,teniendo o mostrando una fuerte afición por algo,cariñoso/cariñosa
2894,having the ability to bend or change shape without breaking.,teniendo la capacidad de cambiar o doblarse sin romperse.,flexible
2895,relating to or organized around business and industry,relacionado con o organizado alrededor de la industria y el negocio,corporativo/corporativa
2896,A dinosaur is a large reptile that dominated Earth's landscapes during the Mesozoic Era.,Un dinosaurio es un gran reptil que dominó las tierras de la Tierra durante el período Mesozoico.,dinosaurio
2897,a material that is present in a thing or substance,un material que está presente en una sustancia,sustancia
2898,A thoughtful consideration of one's own thoughts and feelings.,Una consideración pensativa de sus propios pensamientos y sentimientos.,reflexión
2899,a person who feeds on the blood of the living,una persona que se alimenta del sangre de los vivos,vampiro
2900,to look into something carefully in order to understand it,m ir en profundidad algo para comprenderlo,examinar
2901,a collection of hairs on the chin or jaw of a man,una colección de pelos en la barba o ceja de un hombre,barba
2902,to offer advice or counsel,dar consejo o asesorar,aconsejar
2903,A writing instrument used for drawing and writing.,Un instrumento de escritura utilizado para dibujar y escribir.,lápiz
2904,"A telescope is a device that collects light from distant objects, such as stars or planets, to study them more closely.","Un telescopio es un dispositivo que recoge luz de objetos distantes, como estrellas o planetas, para estudiarlos más de cerca.",telescopio
2905,the cost or price of traveling,el costo o precio de viaje,tarifa
2906,A smooth paste made from cooked and blended food.,Un puré es una mezcla suave de alimentos cocidos y picados en puré.,puré
2907,A drawer is a compartment in an object that can be opened to store or retrieve things.,Un cajón es un compartimiento en un objeto que se puede abrir para almacenar o retirar cosas.,cajón
2908,The cost of an activity or transaction is considered an expense.,El costo de una actividad o transacción se considera un gasto.,gasto
2909,showing faithful devotion or allegiance,mostrando devoción o lealtad fácil,leal
2910,"A collar is a piece of equipment worn around the neck, typically to identify or restrain an animal.","Una cola es un artículo de equipo que se ajusta al cuello, generalmente para identificar o controlar a un animal.",collar
2911,to make something available to the public,hacer algo disponible al público,publicar
2912,The act of bringing something to an end.,El acto de poner algo en fin.,cierre
2913,A type of vehicle with a frame to carry people or goods.,Un tipo de vehculo con una estructura para transportar personas o mercadecia.,carruaje
2914,the act of responding to a statement or message,el acto de responder a una afirmación o mensaje,respuesta
2915,A country in West Africa.,Un país en África Occidental.,guinea
2916,the state or condition of being in charge of someone or something,el estado o condición de tener en custodia a alguien o algo,custodia
2917,to decide or fix definitely,decidir o fijar definitivamente,determinar
2918,having the quality of being lawfully or officially recognized,teniendo la calidad de ser legalmente o oficialmente reconocido,legítimo/legítima
2919,a small amount or portion of something,una pequeña cantidad o porción de algo,grano
2920,"A material made from fibers, threads, or yarns","Un material hecho de fibras, hilos o hilajuelas",tela
2921,having a pleasing and attractive quality,teniendo una calidad agradable y atractiva,elegante
2922,the archaic object form of thou,la forma arcaica del tu,tu
2923,A utensil used for eating and serving food.,Un utensilio utilizado para comer y servir comida.,tenedor
2924,A badger is a short-legged omnivorous mammal with distinctive white stripes on its forehead.,Un tejón es un mamífero carnívoro de cuatro patas con manchas blancas en su frente,tejón
2925,to make something functional or operational,hacer algo funcional o operacional,permitir
2926,intensely strong or powerful in a violent way,intensamente fuerte o poderoso de manera violenta,feroz
2927,A path through which electric current flows,Un camino a través del cual fluye la corriente eléctrica,circuito
2928,Having supreme or ultimate power; independent and self-governing.,Teniendo poder supremo o absoluto; independiente y autogobernante.,soberano/soberana
2929,a building or a place equipped with facilities for a particular purpose,un edificio o un lugar equipado con instalaciones para un propósito particular,instalación
2930,a detailed explanation or account of something,un comentario detallado o cuenta de algo,comentario
2931,The degree to which an event or situation has a profound effect on the overall outcome.,El grado en que un evento o situación tiene un profundo impacto en el resultado general.,significado
2932,"having a sharp, unpleasant taste",teniendo un sabor agrio,agrio/agria
2933,a person who repeatedly tells lies,una persona que repite mentiras,mentiroso/mentirosa
2934,A meeting or coming face to face with someone or something.,Un encuentro o el acto de encontrarse con alguien o algo,encuentro
2935,The amount spent or expected to be spent on something.,La cantidad gastada o esperada para ser gastada en algo.,gasto
2936,"A person who studies the past, especially history.","Un persona que estudia el pasado, especialmente la historia.",historiador/historiadora
2937,a person's occupation or activity,la ocupación o actividad de una persona,profesión
2938,having or characteristic of the latest fashion styles.,con el estilo de moda actual.,de moda
2939,A formal greeting or welcome speech,Un saludo formal o discurso de bienvenida,introducción
2940,The thumb is the outermost and largest digit on a human hand.,El pulgar es el dígito más grande y externo del hombre en la mano.,pulgar
2941,A person who visits a place or is received by someone.,Una persona que visita un lugar o es recibida por alguien.,visitante
2942,the act of making goods or materials available to other countries,el acto de hacer que los bienes o materiales estén disponibles para otros países,exportación
2943,A section or part of a book or other written work,Una sección o parte de un libro o otro trabajo escrito,capítulo
2944,the act of caring for a person who is ill or injured,el acto de cuidar a una persona que está enferma o herida,enfermería
2945,"A person who strikes an object or another person with a stick, especially in sports such as soccer.","Un individuo que golpea un objeto o otra persona con un palo, especialmente en deportes como fútbol.",delantero/delantera
2946,not acceptable,no aceptable,inaceptable
2947,A scam is a fraudulent activity or plan designed to deceive people out of their money or assets.,Una estafa es un acto o plan fraudulentos diseñados para engañar a las personas para obtener dinero o bienes,estafa
2948,a thin layer of material used to cover and protect surfaces,una capa delgada de material utilizado para cubrir y proteger superficies,escayola
2949,A worthless or useless item of little value.,Un objeto inútil o sin valor.,chatarra
2950,a bad or harmful habit or practice,una mala o dañina costumbre o práctica,vicio
2951,to feel great respect or admiration for something or someone,siente gran respeto o admiración por algo o alguien,admirar
2952,extremely angry or upset,enfadado o indignado extremadamente,furioso/furiosa
2953,a small pillow-like cushion for supporting the foot.,un pequeño cojín para apoyar el pie.,almohadilla
2954,A structural element that is part of a building or bridge.,Un elemento estructural que forma parte de un edificio o puente.,haz
2955,A thin piece of absorbent material used for wiping the nose or mouth.,Un trozo delgado de material absorbente utilizado para limpiar la nariz o la boca.,tejido
2956,the quality of being physically fit,la calidad de ser físicamente apto,aptitud física
2957,having or showing a feeling of optimism and confidence that things will work out well,teniendo o mostrando una sensación de optimismo y confianza que las cosas saldrán bien,esperanzado/esperanzada
2958,to do one's part or share in an activity or effort,participar o compartir en una actividad o esfuerzo,contribuir
2959,A planned course of action taken to achieve a goal or solve a problem.,Un plan de acción organizado para lograr un objetivo o resolver un problema.,iniciative
2960,A bodily function by which urine is expelled from the body.,Un funcionamiento corporal a través del cual se elimina la orina del cuerpo.,orina
2961,"A person who rides something, especially a horse.","Una persona que monta algo, especialmente un caballo.",jinete
2962,to stop working or performing a job,dejar de trabajar o realizar un empleo,jubilarse
2963,extremely crazy or unpredictable.,muy loco o impredecible.,demente
2964,"A container made of glass, metal, or plastic for storing food or other items.","Un recipiente hecho de vidrio, metal o plástico para almacenar alimentos o otros objetos.",frasco
2965,not flexible or yielding to pressure,inflexible o no cediendo a la presión,rígido/rígida
2966,A type of freshwater fish commonly found in rivers and streams.,Un tipo de pescado de agua dulce comúnmente encontrado en ríos y arroyos.,trucha
2967,a period of time during which a king or queen holds power,un período de tiempo durante el cual un rey o reina ejerce poder,reinado
2968,the fundamental nature or spirit of something,la esencia fundamental o espíritu de algo,esencia
2969,The horizon is the line or point where the earth's surface meets the sky.,El horizonte es la línea o punto donde se encuentra el suelo de la tierra con el cielo.,horizonte
2970,extremely tasty and enjoyable,muy delicioso y disfrutable,delicioso/deliciosa
2971,to make an effort to achieve something,perseguir algo o a alguien,perseguir
2972,A person who gives advice or guidance to someone in a position of authority.,Un persona que da consejo o orientación a alguien en una posición de autoridad.,asesor/asesora
2973,characterized by providing protection or defense,caracterizado por proporcionar protección o defensa,defensivo/defensiva
2974,relating to the practice of medicine.,relacionado con la práctica de la medicina.,clínico/clínica
2975,A long narrow room or passageway leading from one part of a building to another.,Un largo y estrecho pasillo que conduce desde una parte de un edificio hasta otra.,pasillo
2976,a small hole or crack that allows liquid to escape,una pequeña grieta o fugata que permite que un líquido escape,fuga
2977,a bump or blow to the body,un golpe o golpe en el cuerpo,bache
2978,a thin layer of clear ice,un capa delgada de hielo claro,glaseado
2979,a state of being completely destroyed or damaged,un estado de total destrucción o daño,naufragio
2980,a unit of currency in the United States,una unidad de moneda en los Estados Unidos,dólar
2981,to move or be suspended in the air without touching a surface,moverse o suspender en el aire sin tocar una superficie,flotar
2982,capable of being seen or perceived with the senses.,capaz de ser visto o percibido con los sentidos.,visible
2983,A person who represents a client in legal matters and advises them on the best course of action.,Una persona que representa a un cliente en asuntos legales y le da consejos sobre el mejor curso de acción.,abogado/abogada
2984,A device for making holes or cutting materials.,Un dispositivo para hacer agujeros o cortar materiales.,taladro
2985,occurring or made up of three equal parts,ocurriendo o formado por tres partes iguales,triple
2986,a vague or meaningless sound,un sonido vago o sin sentido,bla
2987,A young domestic chicken.,Un pollo joven.,pollito
2988,used to indicate possession or ownership that belongs to another person or people,se utiliza para indicar posesión o propiedad que pertenece a otra persona o personas,suyo/suya
2989,operating or functioning without human intervention.,funcionando sin intervención humana.,automático/automática
2990,the act of comparing two or more things.,el acto de comparar dos o más cosas.,comparación
2991,giving someone reason to believe in its truth or value,dando razón a alguien de creer en su verdad o valor,convincente
2992,A conservatory is a large glass building designed to bring plants and greenery indoors.,Un conservatorio es un gran edificio de vidrio diseñado para traer plantas y vegetación dentro.,conservatorio
2993,relating to or governed by a constitution.,relacionado con o gobernado por una constitución.,constitucional
2994,used to describe something that is certain or unquestionable,se refiere a algo que es seguro o no tiene duda,definitivo/definitiva
2995,a misdeed or a fault,un pecado o un error,pecado
2996,a female chicken that lays eggs,una gallina hembra que pone huevos,gallina
2997,"A small horse, especially one kept for riding or driving.",Una pequeña cabra,poni
2998,A row of shrubs or small trees planted close together,Una fila de arbustos o pequeños árboles plantados juntos cercanos,seto
2999,The study of the fundamental nature of matter and energy.,El estudio de la naturaleza fundamental de la materia y la energía.,física
3000,a person who skips or sails ahead of a ship to avoid obstacles,un capitán que hace un salto o navega por adelantado del barco para evitar obstáculos,capitán
3001,to restore something to its original state or condition,restaurar algo a su estado original o condición,reconstruir
3002,A person who lives in a particular place as their home or principal residence.,Una persona que vive en un lugar determinado como su hogar o residencia principal.,residente
3003,A person appointed to represent a country or organization in international relations.,Una persona nombrada para representar un país o organización en relaciones internacionales.,embajador/embajadora
3004,showing careful thought and consideration to avoid risk or danger.,muestra un cuidado y consideración especial para evitar riesgo o peligro.,cauteloso/cautelosa
3005,foolish or absurd,tonto o absurdo,tonto/tonta
3006,a noisy argument or quarrel,un alboroto o un discusión ruidosa,alboroto
3007,The act of taking something without permission,El acto de tomar algo sin permiso,robo
3008,a person who defies or resists authority or established rules,un individuo que se rebela contra la autoridad o las reglas establecidas,rebelde
3009,A type of grain used to make bread and other baked goods.,Un tipo de granillo utilizado para hacer pan y otros alimentos horneados.,trigo
3010,To make something not happen or to stop it from happening.,Hacer que algo no suceda o detener que suceda.,cancelar
3011,to give someone the motivation to do something,dar motivación a alguien para hacer algo,inspirar
3012,"A public display of something, such as a product or service.","Un exhibición pública de algo, como un producto o servicio.",manifestación
3013,the state of being informed or conscious about something.,el estado de estar informado o consciente de algo.,conciencia
3014,"The study of the composition, properties, and reactions of matter.","El estudio de la composición, propiedades y reacciones de los materiales.",química
3015,causing anxiety or worry,causando ansiedad o preocupación,estresante
